Heading,Input,Ground Truth,Correct Prediction,1. Predicted Label,2. Predicted Label,3. Predicted Label,4. Predicted Label,1. Predicted Sub-label,2. Predicted Sub-label,3. Predicted Sub-label,4. Predicted Sub-label,1. Similarity,2. Similarity,3. Similarity,4. Similarity
0,"Define the term ""product_id"" (example: ""13842"" is a ""product_id"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,parameter,parameter,matter,device id,measurement quantity,process quantity,material name abbreviation,0.8019059,0.79888195,0.788625,0.78701204
1,"Define the term ""layer_function"" (example: ""ETL"" is a ""layer_function"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,matter,metadata,matter,material composition,component composition,facility,device composition,0.80818456,0.80332404,0.7683058,0.76350784
2,"Define the term ""layer_process"" (example: ""Spincoating"" is a ""layer_process"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",manufacturing,True,manufacturing,manufacturing,metadata,parameter,manufacturing process,component manufacturing,facility,material process parameter,0.80963135,0.80613554,0.80506444,0.7990134
3,"Define the term ""layer_process_location"" (example: ""OPVSpinbot"" is a ""layer_process_location"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",metadata,True,metadata,parameter,parameter,metadata,facility,fabrication condition,material process parameter,location,0.804444,0.8005121,0.798735,0.79549545
4,"Define the term ""layer_material_content_ratio"" (example: ""1"" is a ""layer_material_content_ratio"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,matter,parameter,parameter,material ratio,material concentration,material measurement parameter,material manufacturing parameter,0.83649176,0.81883526,0.8012569,0.78790516
5,"Define the term ""content_function"" (example: ""ETL"" is a ""content_function"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,matter,metadata,manufacturing,material composition,component composition,facility,component change,0.8286365,0.8242831,0.77473,0.7746961
6,"Define the term ""material_batch_barcode"" (example: ""121800"" is a ""material_batch_barcode"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,parameter,parameter,parameter,material name abbreviation,material measurement parameter,measurement quantity,material manufacturing parameter,0.8044753,0.79321545,0.792866,0.78962594
7,"Define the term ""material_name_short"" (example: ""ZnO"" is a ""material_name_short"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,parameter,matter,manufacturing,material name abbreviation,material manufacturing parameter,material,material manufacturing,0.8210483,0.7963766,0.7963698,0.79085356
8,"Define the term ""annealing_time"" (example: ""00:46:01"" is a ""annealing_time"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",parameter,True,parameter,parameter,measurement,parameter,material manufacturing parameter,measurement parameter,measurement process,manufacturing parameter,0.78945935,0.78302974,0.77887285,0.7753106
9,"Define the term ""annealing_temperature"" (example: ""180"" is a ""annealing_temperature"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",parameter,True,parameter,parameter,parameter,parameter,measurement parameter,material manufacturing parameter,measurement quantity,manufacturing parameter,0.791484,0.7904581,0.7796658,0.77605957
10,"Define the term ""product_id"" (example: ""13842"" is a ""product_id"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,parameter,parameter,matter,device id,measurement quantity,process quantity,material name abbreviation,0.8019059,0.79888195,0.788625,0.78701204
11,"Define the term ""layer_function"" (example: ""ActiveLayer"" is a ""layer_function"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,matter,matter,metadata,material composition,component composition,device composition,facility,0.8103261,0.8045211,0.7668733,0.75808847
12,"Define the term ""layer_process"" (example: ""Spincoating"" is a ""layer_process"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",manufacturing,True,manufacturing,manufacturing,metadata,parameter,manufacturing process,component manufacturing,facility,material process parameter,0.80963135,0.80613554,0.80506444,0.7990134
13,"Define the term ""layer_process_location"" (example: ""LineOne"" is a ""layer_process_location"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",metadata,True,metadata,metadata,parameter,measurement,facility,location,material process parameter,measurement,0.80420256,0.79784214,0.79591125,0.78848654
