Heading,Input,Ground Truth,Correct Prediction,1. Predicted Label,2. Predicted Label,3. Predicted Label,4. Predicted Label,1. Predicted Sub-label,2. Predicted Sub-label,3. Predicted Sub-label,4. Predicted Sub-label,1. Similarity,2. Similarity,3. Similarity,4. Similarity
0,key: product_id: value: 13842,matter,True,matter,matter,matter,matter,material id,component id,device id,material type,0.8274016,0.82211316,0.8206478,0.79920614
1,key: layer_function: value: ETL,matter,True,matter,matter,matter,matter,material composition,component composition,material type,component name,0.8102255,0.80071986,0.7945585,0.79211724
2,key: layer_process: value: Spincoating,manufacturing,True,manufacturing,matter,matter,parameter,manufacturing process,material name,material type,process condition,0.8074394,0.802745,0.79632056,0.79105043
3,key: layer_process_location: value: OPVSpinbot,metadata,False,matter,matter,metadata,matter,component name,material name,location,component id,0.790828,0.78695023,0.7821059,0.78154176
4,key: layer_number: value: 1,matter,True,matter,matter,matter,matter,component id,component name,material name,material id,0.80337346,0.8001608,0.791767,0.7913718
9,key: layer_material_content_ratio: value: 1,matter,True,matter,matter,matter,matter,material name,material id,material type,material concentration,0.836712,0.83608675,0.829518,0.82656944
10,key: content_function: value: ETL,matter,True,matter,matter,matter,matter,material composition,component composition,material type,component name,0.8200326,0.81082463,0.80506045,0.802771
11,key: material_batch_barcode: value: 121800,matter,True,matter,matter,matter,matter,material name,material id,material type,material composition,0.8326578,0.8296425,0.82832575,0.8012722
12,key: material_name_short: value: ZnO,matter,True,matter,matter,matter,matter,material name,material type,material id,material composition,0.88028646,0.85063946,0.84697855,0.826698
13,key: annealing_time: value: 00:46:01,parameter,False,matter,matter,matter,matter,material name,component name,component id,material type,0.79070616,0.7837246,0.78206223,0.78159475
14,key: annealing_temperature: value: 180,parameter,False,matter,matter,matter,matter,material name,material type,material id,component name,0.78272074,0.7790385,0.77375615,0.7688981
15,key: product_id: value: 13842,matter,True,matter,matter,matter,matter,material id,component id,device id,material type,0.8274016,0.82211316,0.8206478,0.79920614
16,key: layer_function: value: ActiveLayer,matter,True,matter,matter,matter,matter,component composition,material composition,component name,component id,0.78991294,0.78249204,0.77945393,0.77293754
17,key: layer_process: value: Spincoating,manufacturing,True,manufacturing,matter,matter,parameter,manufacturing process,material name,material type,process condition,0.8077041,0.8030834,0.79673564,0.7910721
18,key: layer_process_location: value: LineOne,metadata,True,metadata,matter,matter,matter,location,component name,material name,component id,0.7980815,0.78624856,0.7821825,0.77510244
19,key: layer_number: value: 2,matter,True,matter,matter,matter,matter,component id,component name,material name,material id,0.79488724,0.7929036,0.7905227,0.78551924
20,key: layer_material_solid_concentration: value: 19.5094339622642,matter,True,matter,matter,matter,matter,material concentration,material name,material id,material type,0.816277,0.812616,0.8053371,0.7953932
21,key: layer_material_temperature: value: 25,parameter,False,matter,matter,matter,matter,material name,material type,material id,material composition,0.8283641,0.81865424,0.81755114,0.79430413
22,key: layer_material_stirring_time: value: 100,parameter,False,matter,matter,matter,matter,material name,material id,material type,material composition,0.8246078,0.8211705,0.81624234,0.79501843
23,key: layer_material_stirring_speed: value: 600,parameter,False,matter,matter,matter,parameter,material name,material type,material id,material process parameter,0.8168783,0.80886173,0.80770093,0.78206813
24,key: layer_material_content_ratio: value: 0.9152,matter,True,matter,matter,matter,matter,material id,material name,material type,material concentration,0.833291,0.83233047,0.82035565,0.8185145
25,key: content_function: value: Donor,matter,True,matter,matter,matter,matter,material composition,component composition,component name,material name,0.8038026,0.8003483,0.7918625,0.7900393
26,key: material_batch_barcode: value: 321100,matter,True,matter,matter,matter,matter,material name,material id,material type,material composition,0.8344854,0.83207196,0.8298319,0.8045083
27,key: material_name_short: value: PM6,matter,True,matter,matter,matter,matter,material name,material type,material id,material composition,0.8821401,0.8619424,0.85960805,0.8252162
28,key: annealing_time: value: 00:10:15,parameter,False,matter,matter,matter,matter,material name,component id,component name,material id,0.7983556,0.79092014,0.7907428,0.7901952
29,key: annealing_temperature: value: 160,parameter,False,matter,matter,matter,matter,material name,material type,material id,component name,0.7918439,0.7865658,0.78013456,0.7767277
30,key: product_id: value: 13842,matter,True,matter,matter,matter,matter,material id,component id,device id,material type,0.8274016,0.82211316,0.8206478,0.79920614
31,key: layer_function: value: ActiveLayer,matter,True,matter,matter,matter,matter,component composition,material composition,component name,component id,0.7899115,0.7824552,0.77944463,0.77292836
32,key: layer_process: value: Spincoating,manufacturing,True,manufacturing,matter,matter,parameter,manufacturing process,material name,material type,process condition,0.8075305,0.8028832,0.79645646,0.7910944
33,key: layer_process_location: value: LineOne,metadata,True,metadata,matter,matter,matter,location,component name,material name,component id,0.7980815,0.78624856,0.7821825,0.77510244
34,key: layer_number: value: 2,matter,True,matter,matter,matter,matter,component id,component name,material name,material id,0.79490346,0.7929262,0.7905408,0.78551227
