Heading,Input,Ground Truth,Correct Prediction,1. Predicted Label,2. Predicted Label,3. Predicted Label,4. Predicted Label,1. Predicted Sub-label,2. Predicted Sub-label,3. Predicted Sub-label,4. Predicted Sub-label,1. Similarity,2. Similarity,3. Similarity,4. Similarity
0,"Define the term ""product_id"" maximum three words (example: 13842 is a product_id)!                            ",matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.789514,0.77420294,0.7623604,0.7587914
1,"Define the term ""layer_function"" maximum three words (example: ETL is a layer_function)!                            ",matter,True,matter,matter,matter,metadata,component composition,material composition,device composition,facility,0.81031036,0.79391587,0.7586803,0.75045896
2,"Define the term ""layer_process"" maximum three words (example: Spincoating is a layer_process)!                            ",manufacturing,True,manufacturing,manufacturing,metadata,metadata,component manufacturing,manufacturing process,organization,facility,0.7987788,0.7973606,0.79485524,0.7912128
3,"Define the term ""layer_process_location"" maximum three words (example: OPVSpinbot is a layer_process_location)!                            ",metadata,True,metadata,metadata,metadata,parameter,location,organization,facility,condition parameter,0.81844306,0.79047275,0.78889424,0.78304946
4,"Define the term ""layer_number"" maximum three words (example: 1 is a layer_number)!                            ",matter,True,matter,matter,parameter,parameter,component composition,material name,measurement parameter,measurement quantity,0.72891337,0.72729504,0.72554827,0.724338
5,"Define the term ""layer_material_content_ratio"" maximum three words (example: 1 is a layer_material_content_ratio)!                            ",matter,True,matter,parameter,parameter,property,material concentration,material condition,material measurement parameter,material ratio,0.8098948,0.78140664,0.7799083,0.77334905
6,"Define the term ""content_function"" maximum three words (example: ETL is a content_function)!                            ",matter,True,matter,matter,parameter,matter,component composition,material composition,material condition,component name,0.83416265,0.8145287,0.7880506,0.7726054
7,"Define the term ""material_batch_barcode"" maximum three words (example: 121800 is a material_batch_barcode)!                            ",matter,True,matter,parameter,parameter,parameter,material name,manufacturing quanity,material measurement parameter,measurement quantity,0.7752805,0.7733984,0.7730948,0.77197194
8,"Define the term ""material_name_short"" maximum three words (example: ZnO is a material_name_short)!                            ",matter,True,matter,matter,parameter,matter,material name,material name abbreviation,material manufacturing parameter,material id,0.8015059,0.7994805,0.77411604,0.77160066
9,"Define the term ""annealing_time"" maximum three words (example: 00:46:01 is a annealing_time)!                            ",parameter,True,parameter,parameter,measurement,matter,measurement parameter,manufacturing parameter,measurement process,material name,0.75133103,0.74870473,0.7441611,0.7406314
10,"Define the term ""annealing_temperature"" maximum three words (example: 180 is a annealing_temperature)!                            ",parameter,True,parameter,parameter,matter,parameter,measurement parameter,measurement quantity,material name,manufacturing parameter,0.763781,0.7526609,0.7523708,0.75138867
11,"Define the term ""product_id"" maximum three words (example: 13842 is a product_id)!                            ",matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.789514,0.77420294,0.7623604,0.7587914
12,"Define the term ""layer_function"" maximum three words (example: ActiveLayer is a layer_function)!                            ",matter,True,matter,matter,matter,metadata,component composition,material composition,device composition,organization,0.799876,0.7774956,0.74533796,0.73077327
13,"Define the term ""layer_process"" maximum three words (example: Spincoating is a layer_process)!                            ",manufacturing,True,manufacturing,manufacturing,metadata,metadata,component manufacturing,manufacturing process,organization,facility,0.79886687,0.79742306,0.7950132,0.79135793
14,"Define the term ""layer_process_location"" maximum three words (example: LineOne is a layer_process_location)!                            ",metadata,True,metadata,metadata,metadata,parameter,location,organization,facility,condition parameter,0.81220174,0.78059596,0.7757446,0.7738951
15,"Define the term ""layer_number"" maximum three words (example: 2 is a layer_number)!                            ",matter,True,matter,parameter,matter,parameter,component composition,measurement parameter,material name,measurement quantity,0.7278138,0.72726774,0.7260287,0.7257641
16,"Define the term ""layer_material_solid_concentration"" maximum three words (example: 19.5094339622642 is a layer_material_solid_concentration)!                            ",matter,True,matter,parameter,property,property,material concentration,material measurement parameter,device_property,material_property,0.7922744,0.76880157,0.76581967,0.7657685
17,"Define the term ""layer_material_temperature"" maximum three words (example: 25 is a layer_material_temperature)!                            ",parameter,False,property,property,parameter,matter,device_property,material_property,material measurement parameter,material name,0.77772033,0.7776799,0.77748656,0.7732646
18,"Define the term ""layer_material_stirring_time"" maximum three words (example: 100 is a layer_material_stirring_time)!                            ",parameter,True,parameter,matter,parameter,property,material measurement parameter,material name,material manufacturing parameter,device_property,0.776919,0.77619535,0.7754265,0.7735015
19,"Define the term ""layer_material_stirring_speed"" maximum three words (example: 600 is a layer_material_stirring_speed)!                            ",parameter,False,property,property,parameter,parameter,device_property,material_property,material measurement parameter,material manufacturing parameter,0.7770947,0.7770646,0.77517235,0.7750674
20,"Define the term ""layer_material_content_ratio"" maximum three words (example: 0.9152 is a layer_material_content_ratio)!                            ",matter,True,matter,parameter,parameter,property,material concentration,material measurement parameter,material condition,material ratio,0.8118867,0.78420454,0.77678823,0.7695857
21,"Define the term ""content_function"" maximum three words (example: Donor is a content_function)!                            ",matter,True,matter,matter,parameter,matter,component composition,material composition,material condition,component name,0.82466245,0.80293834,0.7788758,0.7599519
22,"Define the term ""material_batch_barcode"" maximum three words (example: 321100 is a material_batch_barcode)!                            ",matter,True,matter,parameter,parameter,parameter,material name,manufacturing quanity,material measurement parameter,measurement quantity,0.77263415,0.77248746,0.7700169,0.76999104
23,"Define the term ""material_name_short"" maximum three words (example: PM6 is a material_name_short)!                            ",matter,True,matter,matter,parameter,parameter,material name,material name abbreviation,material manufacturing parameter,material measurement parameter,0.81211597,0.80686706,0.7891944,0.7842149
