Heading,Input,Ground Truth,Correct Prediction,1. Predicted Label,2. Predicted Label,3. Predicted Label,4. Predicted Label,1. Predicted Sub-label,2. Predicted Sub-label,3. Predicted Sub-label,4. Predicted Sub-label,1. Similarity,2. Similarity,3. Similarity,4. Similarity
0,key: product_id value: 13842,matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.8245803,0.80134815,0.7880004,0.7864033
1,key: layer_function value: ETL,matter,True,matter,matter,matter,matter,component composition,material composition,device composition,component type,0.7903693,0.7762527,0.75030255,0.7438345
2,key: layer_process value: Spincoating,manufacturing,True,manufacturing,condition,parameter,parameter,manufacturing process,fabrication condition,condition parameter,process condition,0.808069,0.7971809,0.7971218,0.79702437
3,key: layer_process_location value: OPVSpinbot,metadata,True,metadata,condition,parameter,parameter,location,fabrication condition,condition parameter,process condition,0.7776319,0.7749971,0.77495563,0.77487606
4,key: layer_number value: 1,matter,True,matter,matter,property,parameter,component composition,device id,material ratio,process parameter,0.74102336,0.7391454,0.73780435,0.7368646
9,key: layer_material_content_ratio value: 1,matter,True,matter,property,parameter,matter,material concentration,material ratio,material condition,material id,0.82757515,0.7950672,0.7929246,0.7847818
10,key: content_function value: ETL,matter,True,matter,matter,parameter,matter,component composition,material composition,material condition,component type,0.8151355,0.8012115,0.77302885,0.7652596
11,key: material_batch_barcode value: 121800,matter,True,matter,parameter,property,parameter,material id,material manufacturing parameter,material ratio,material process parameter,0.79532516,0.7832347,0.78204316,0.78022724
12,key: material_name_short value: ZnO,matter,True,matter,matter,property,parameter,material name,material id,material ratio,material manufacturing parameter,0.80330205,0.78916574,0.78478473,0.78327477
13,key: annealing_time value: 00:46:01,parameter,True,parameter,manufacturing,parameter,measurement,manufacturing parameter,manufacturing process,measurement parameter,measurement process,0.7684952,0.7611074,0.754653,0.753502
14,key: annealing_temperature value: 180,parameter,True,parameter,parameter,parameter,parameter,manufacturing parameter,measurement parameter,device manufacturing parameter,process quantity,0.76343536,0.76138365,0.75830424,0.7565472
15,key: product_id value: 13842,matter,True,matter,matter,matter,parameter,device id,material id,component id,process quantity,0.8244903,0.8012351,0.7879483,0.78642213
16,key: layer_function value: ActiveLayer,matter,True,matter,matter,matter,parameter,component composition,material composition,device composition,process parameter,0.78200257,0.76076627,0.7395704,0.71991
17,key: layer_process value: Spincoating,manufacturing,True,manufacturing,condition,parameter,parameter,manufacturing process,fabrication condition,condition parameter,process condition,0.808069,0.7971809,0.7971218,0.79702437
18,key: layer_process_location value: LineOne,metadata,True,metadata,condition,parameter,parameter,location,fabrication condition,condition parameter,process condition,0.7930374,0.779302,0.77927446,0.7791494
19,key: layer_number value: 2,matter,False,parameter,matter,property,parameter,process parameter,device type,material ratio,process quantity,0.736738,0.7367172,0.73524016,0.7344462
20,key: layer_material_solid_concentration value: 19.5094339622642,matter,True,matter,parameter,property,property,material concentration,material measurement parameter,device_property,material_property,0.81536543,0.76668334,0.76388353,0.76382023
21,key: layer_material_temperature value: 25,parameter,True,parameter,property,parameter,parameter,material condition,material ratio,material process parameter,material manufacturing parameter,0.76927114,0.7685511,0.767104,0.76508
22,key: layer_material_stirring_time value: 100,parameter,True,parameter,matter,parameter,parameter,material process parameter,material concentration,material manufacturing parameter,material measurement parameter,0.7827811,0.77715653,0.7768178,0.7724247
23,key: layer_material_stirring_speed value: 600,parameter,True,parameter,parameter,parameter,property,material process parameter,material manufacturing parameter,manufacturing parameter,device_property,0.78132766,0.77705944,0.7720029,0.76578593
24,key: layer_material_content_ratio value: 0.9152,matter,True,matter,property,parameter,matter,material concentration,material ratio,material condition,material id,0.8171294,0.7920501,0.7869016,0.7866056
25,key: content_function value: Donor,matter,True,matter,matter,matter,parameter,component composition,material composition,device composition,material condition,0.81957185,0.8032459,0.78050655,0.7762035
26,key: material_batch_barcode value: 321100,matter,True,matter,property,parameter,parameter,material id,material ratio,material manufacturing parameter,process quantity,0.7884174,0.7790147,0.7763751,0.77360487
