Heading,Input,Ground Truth,Correct Prediction,1. Predicted Label,2. Predicted Label,3. Predicted Label,4. Predicted Label,1. Predicted Sub-label,2. Predicted Sub-label,3. Predicted Sub-label,4. Predicted Sub-label,1. Similarity,2. Similarity,3. Similarity,4. Similarity
0,"Define the term ""product_id"" (example: ""13842"" is a ""product_id"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,parameter,parameter,matter,device id,measurement quantity,process quantity,material name abbreviation,0.8019059,0.79888195,0.78882307,0.7870014
1,"Define the term ""layer_function"" (example: ""ETL"" is a ""layer_function"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,matter,metadata,matter,material composition,component composition,facility,device composition,0.8082924,0.8034624,0.7684035,0.7635405
2,"Define the term ""layer_process"" (example: ""Spincoating"" is a ""layer_process"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",manufacturing,True,manufacturing,manufacturing,metadata,parameter,manufacturing process,component manufacturing,facility,material process parameter,0.80957866,0.80611616,0.80481374,0.79895717
3,"Define the term ""layer_process_location"" (example: ""OPVSpinbot"" is a ""layer_process_location"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",metadata,True,metadata,parameter,parameter,manufacturing,facility,fabrication condition,material process parameter,component manufacturing,0.8042408,0.8008621,0.7986622,0.79344416
4,"Define the term ""layer_number"" (example: ""1"" is a ""layer_number"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,False,parameter,parameter,parameter,parameter,measurement parameter,material manufacturing parameter,measurement quantity,material measurement parameter,0.7672615,0.76638097,0.7662851,0.763068
5,"Define the term ""layer_material_content_ratio"" (example: ""1"" is a ""layer_material_content_ratio"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,matter,parameter,parameter,material ratio,material concentration,material measurement parameter,material manufacturing parameter,0.83661556,0.81900454,0.8018701,0.7883793
6,"Define the term ""content_function"" (example: ""ETL"" is a ""content_function"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,matter,metadata,manufacturing,material composition,component composition,facility,component change,0.8286145,0.8242831,0.7747605,0.77470714
7,"Define the term ""material_batch_barcode"" (example: ""121800"" is a ""material_batch_barcode"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,parameter,parameter,parameter,material name abbreviation,material measurement parameter,measurement quantity,material manufacturing parameter,0.80436814,0.79315746,0.79272556,0.78961575
8,"Define the term ""material_name_short"" (example: ""ZnO"" is a ""material_name_short"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",matter,True,matter,parameter,matter,manufacturing,material name abbreviation,material manufacturing parameter,material,material manufacturing,0.82099557,0.7963766,0.7963698,0.7908063
9,"Define the term ""annealing_time"" (example: ""00:46:01"" is a ""annealing_time"") in a three word sentence,            on a very high abstraction-level(matter, manufacturing, measurement, property, parameter)!                            ",parameter,True,parameter,parameter,measurement,parameter,material manufacturing parameter,measurement parameter,measurement process,manufacturing parameter,0.78948474,0.78316915,0.7791155,0.775298
