Heading,Input,Ground Truth,Correct Prediction,1. Predicted Label,2. Predicted Label,3. Predicted Label,4. Predicted Label,1. Predicted Sub-label,2. Predicted Sub-label,3. Predicted Sub-label,4. Predicted Sub-label,1. Similarity,2. Similarity,3. Similarity,4. Similarity
0,"Describe the term ""product_id"" using three terms (example: ""13842"" is a ""product_id"")!",matter,True,matter,matter,matter,matter,device id,material id,component id,device name,0.804578,0.7878176,0.77295804,0.7651789
1,"Describe the term ""layer_function"" using three terms (example: ""ETL"" is a ""layer_function"")!",matter,True,matter,matter,manufacturing,matter,component composition,material composition,component change,device composition,0.7977453,0.78676933,0.75366545,0.7508291
2,"Describe the term ""layer_process"" using three terms (example: ""Spincoating"" is a ""layer_process"")!",manufacturing,True,manufacturing,manufacturing,metadata,metadata,manufacturing process,component manufacturing,facility,location,0.8063297,0.8044899,0.78659815,0.785226
3,"Describe the term ""layer_process_location"" using three terms (example: ""OPVSpinbot"" is a ""layer_process_location"")!",metadata,True,metadata,parameter,parameter,metadata,location,fabrication condition,condition parameter,facility,0.8247422,0.79359305,0.7843062,0.783453
4,"Describe the term ""layer_number"" using three terms (example: ""1"" is a ""layer_number"")!",matter,True,matter,matter,matter,matter,component composition,material name,component name,component,0.73554677,0.73324704,0.72913903,0.72817904
5,"Describe the term ""layer_material_content_ratio"" using three terms (example: ""1"" is a ""layer_material_content_ratio"")!",matter,True,matter,matter,parameter,matter,material ratio,material concentration,material measurement parameter,material,0.8266721,0.80808395,0.77714694,0.7756499
6,"Describe the term ""content_function"" using three terms (example: ""ETL"" is a ""content_function"")!",matter,True,matter,matter,manufacturing,matter,component composition,material composition,component change,component name,0.8211897,0.80840147,0.77100194,0.7568126
7,"Describe the term ""material_batch_barcode"" using three terms (example: ""121800"" is a ""material_batch_barcode"")!",matter,True,matter,parameter,matter,matter,material,material manufacturing condition,material id,material name,0.77566063,0.77261436,0.7703364,0.76867807
8,"Describe the term ""material_name_short"" using three terms (example: ""ZnO"" is a ""material_name_short"")!",matter,True,matter,matter,matter,matter,material name,material name abbreviation,material,material id,0.81716776,0.8062,0.7760297,0.7756208
9,"Describe the term ""annealing_time"" using three terms (example: ""00:46:01"" is a ""annealing_time"")!",parameter,False,measurement,manufacturing,measurement,parameter,measurement process,manufacturing process,measurement,measurement parameter,0.7551197,0.7518754,0.7487939,0.746019
10,"Describe the term ""annealing_temperature"" using three terms (example: ""180"" is a ""annealing_temperature"")!",parameter,False,manufacturing,manufacturing,measurement,parameter,material conversion,manufacturing process,measurement process,measurement parameter,0.75657207,0.7562108,0.7558978,0.7534981
11,"Describe the term ""product_id"" using three terms (example: ""13842"" is a ""product_id"")!",matter,True,matter,matter,matter,matter,device id,material id,component id,device name,0.80459464,0.78788733,0.7730308,0.76523745
12,"Describe the term ""layer_function"" using three terms (example: ""ActiveLayer"" is a ""layer_function"")!",matter,True,matter,matter,matter,manufacturing,component composition,material composition,device composition,component change,0.7967404,0.78030896,0.74537784,0.7294208
13,"Describe the term ""layer_process"" using three terms (example: ""Spincoating"" is a ""layer_process"")!",manufacturing,True,manufacturing,manufacturing,metadata,metadata,manufacturing process,component manufacturing,facility,location,0.8063297,0.8044899,0.78659815,0.785226
14,"Describe the term ""layer_process_location"" using three terms (example: ""LineOne"" is a ""layer_process_location"")!",metadata,True,metadata,metadata,parameter,manufacturing,location,facility,fabrication condition,manufacturing process,0.8222437,0.77731645,0.7671309,0.7669983
15,"Describe the term ""layer_number"" using three terms (example: ""2"" is a ""layer_number"")!",matter,True,matter,matter,parameter,matter,component composition,material name,measurement quantity,component,0.7372448,0.73471093,0.73413193,0.73193514
16,"Describe the term ""layer_material_solid_concentration"" using three terms (example: ""19.5094339622642"" is a ""layer_material_solid_concentration"")!",matter,True,matter,matter,matter,property,material concentration,material,material ratio,device_property,0.79214686,0.77153134,0.7685697,0.7646295
17,"Describe the term ""layer_material_temperature"" using three terms (example: ""25"" is a ""layer_material_temperature"")!",parameter,False,matter,property,parameter,parameter,material,device_property,material condition,material measurement parameter,0.77405113,0.7739153,0.77319354,0.76636654
18,"Describe the term ""layer_material_stirring_time"" using three terms (example: ""100"" is a ""layer_material_stirring_time"")!",parameter,True,parameter,matter,parameter,matter,material measurement parameter,material ratio,material manufacturing parameter,material,0.7724204,0.7722466,0.7719524,0.771832
19,"Describe the term ""layer_material_stirring_speed"" using three terms (example: ""600"" is a ""layer_material_stirring_speed"")!",parameter,False,property,matter,parameter,matter,device_property,material,material manufacturing parameter,material ratio,0.7755302,0.7709365,0.76971906,0.7694551
20,"Describe the term ""layer_material_content_ratio"" using three terms (example: ""0.9152"" is a ""layer_material_content_ratio"")!",matter,True,matter,matter,parameter,matter,material ratio,material concentration,material measurement parameter,material,0.8245084,0.8072263,0.7791297,0.77222615
21,"Describe the term ""content_function"" using three terms (example: ""Donor"" is a ""content_function"")!",matter,True,matter,matter,matter,matter,component composition,material composition,device composition,component,0.82754636,0.8139968,0.75705564,0.75531614
22,"Describe the term ""material_batch_barcode"" using three terms (example: ""321100"" is a ""material_batch_barcode"")!",matter,True,matter,parameter,matter,matter,material,material manufacturing condition,material id,material name,0.77180505,0.7710252,0.7672411,0.76415974
23,"Describe the term ""material_name_short"" using three terms (example: ""PM6"" is a ""material_name_short"")!",matter,True,matter,matter,matter,parameter,material name abbreviation,material name,material id,material manufacturing parameter,0.82281744,0.81854254,0.7879446,0.7832778
24,"Describe the term ""annealing_time"" using three terms (example: ""00:10:15"" is a ""annealing_time"")!",parameter,False,measurement,manufacturing,manufacturing,parameter,measurement process,manufacturing process,material conversion,measurement parameter,0.7535725,0.7516646,0.74956703,0.7492564
25,"Describe the term ""annealing_temperature"" using three terms (example: ""160"" is a ""annealing_temperature"")!",parameter,False,manufacturing,measurement,manufacturing,parameter,manufacturing process,measurement process,material conversion,measurement parameter,0.7579553,0.757908,0.75655925,0.7537481
26,"Describe the term ""product_id"" using three terms (example: ""13842"" is a ""product_id"")!",matter,True,matter,matter,matter,matter,device id,material id,component id,device name,0.8046609,0.7878946,0.7730135,0.7652433
27,"Describe the term ""layer_function"" using three terms (example: ""ActiveLayer"" is a ""layer_function"")!",matter,True,matter,matter,matter,manufacturing,component composition,material composition,device composition,component change,0.79660624,0.7804258,0.74526834,0.7294275
28,"Describe the term ""layer_process"" using three terms (example: ""Spincoating"" is a ""layer_process"")!",manufacturing,True,manufacturing,manufacturing,metadata,metadata,manufacturing process,component manufacturing,facility,location,0.8063304,0.8044714,0.7866365,0.78524184
29,"Describe the term ""layer_process_location"" using three terms (example: ""LineOne"" is a ""layer_process_location"")!",metadata,True,metadata,metadata,parameter,manufacturing,location,facility,fabrication condition,manufacturing process,0.8216276,0.7770084,0.7669646,0.76651543
30,"Describe the term ""layer_number"" using three terms (example: ""2"" is a ""layer_number"")!",matter,True,matter,matter,parameter,matter,component composition,material name,measurement quantity,component,0.7372448,0.73471093,0.73413193,0.73193514
